,species,samp.size,search.algo,part.log.lik,part.IC,part.IC.score,num.partition.steps,num.partitions,max.log.lik,uncon.log.lik,num.free.params,AIC,AICc,BIC,sum.branch.lens,sum.int.branch.lens,cons.log.lik,cons.max.RF.dist
1,lopho,10,greedy,-102096.08984375,AICc,204454.056142,7,3,-102095.9812,-15279.0085,124,204439.9625,204453.8389,205154.9456,38.0236,19.8532,-102095.981404,0
2,lopho,10,noPart,noPart,noPart,noPart,noPart,0,-102106.1797,-17440.2886,122,204456.3594,204469.7816,205159.8106,37.9926,19.8300,-102106.179884,0
3,lopho,10,rcluster,-102096.26953125,AIC,204444.539062,4,5,-102096.2454,-14251.7844,126,204444.4907,204458.8295,205171.0059,38.0293,19.8488,-102096.245542,0
4,lopho,10,rcluster,-102106.25,BIC,205152.185163,9,1,-102106.2164,-17440.2886,121,204454.4329,204467.6309,205152.1181,37.9744,19.8189,-102106.216605,0
5,lopho,10,rcluster,-102096.26953125,AICc,204458.877772,4,5,-102096.2457,-14251.7844,126,204444.4913,204458.8300,205171.0065,38.0302,19.8493,-102096.245832,0
6,myria,10,greedy,-37941.3071289062,AIC,75980.6142578,8,2,-37941.2379,-9603.4416,49,75980.4758,75983.9858,76239.0271,13.0310,8.2305,-37941.237953,0
7,myria,10,greedy,-37944.078125,BIC,76230.1544009,9,1,-37944.0298,-10254.9285,47,75982.0596,75985.2870,76230.0577,12.9807,8.1927,-37944.029829,0
8,myria,10,greedy,-37941.3071289062,AICc,75984.1242865,8,2,-37941.2379,-9603.4416,49,75980.4758,75983.9858,76239.0271,13.0310,8.2305,-37941.237953,0
9,myria,10,noPart,noPart,noPart,noPart,noPart,0,-37944.1950,-10254.9285,48,75984.3899,75987.7571,76237.6646,12.9865,8.1969,-37944.195013,0
10,myria,10,rcluster,-37941.7829589844,AIC,75981.565918,8,2,-37941.7777,-9844.9640,49,75981.5553,75985.0653,76240.1066,13.0031,8.2110,-37941.777713,0
11,myria,10,rcluster,-37944.05078125,BIC,76230.0997134,9,1,-37944.0298,-10254.9285,47,75982.0596,75985.2870,76230.0577,12.9807,8.1927,-37944.029829,0
12,myria,10,rcluster,-37941.7829589844,AICc,75985.0759466,8,2,-37941.7776,-9844.9640,49,75981.5553,75985.0653,76240.1066,13.0032,8.2110,-37941.777703,0
13,lopho,20,noPart,noPart,noPart,noPart,noPart,0,-201145.8167,-36211.8654,122,402535.6335,402542.3793,403319.8136,38.0963,19.9535,-201145.817114,0
14,lopho,20,rcluster,-201131.443359375,AIC,402516.886719,15,5,-201131.4291,-31118.9157,127,402516.8581,402524.1741,403333.1768,38.1339,19.9765,-201131.429443,0
15,lopho,20,rcluster,-201137.080078125,BIC,403310.767997,17,3,-201137.0512,-33323.1407,123,402520.1023,402526.9602,403310.7102,38.0854,19.9466,-201137.051499,0
16,lopho,20,rcluster,-201131.443359375,AICc,402524.20265,15,5,-201131.4290,-31118.9157,127,402516.8580,402524.1740,403333.1767,38.1339,19.9765,-201131.429380,0
17,myria,20,noPart,noPart,noPart,noPart,noPart,0,-76870.0018,-22423.5725,48,153836.0036,153837.6518,154122.7316,12.8966,8.1744,-76870.026508,2
18,myria,20,rcluster,-76860.4655761719,AICc,153824.791552,15,4,-76860.4592,-19287.0923,51,153822.9184,153824.7788,154127.5669,12.8858,8.1723,-76860.466632,2
19,lopho,40,noPart,noPart,noPart,noPart,noPart,0,-402481.6286,-78866.5681,122,805207.2572,805210.5056,806078.8757,37.9703,19.9843,-402481.628793,0
20,myria,40,noPart,noPart,noPart,noPart,noPart,0,-154225.8644,-46684.2579,48,308547.7289,308548.5758,308866.0196,12.9050,8.1570,-154225.864444,0
21,myria,40,rcluster,-154201.170410156,AIC,308508.34082,34,6,-154201.1602,-40031.9491,53,308508.3204,308509.3519,308859.7664,12.9058,8.1620,-154201.160194,0
22,myria,40,rcluster,-154206.756347656,BIC,308845.065568,35,4,-154206.7248,-41004.6588,50,308513.4496,308514.3682,308845.0025,12.8833,8.1437,-154206.724806,0
23,myria,40,rcluster,-154201.170410156,AICc,308509.372358,34,6,-154201.1602,-40031.9491,53,308508.3204,308509.3519,308859.7664,12.9058,8.1620,-154201.160194,0
24,lopho,80,noPart,noPart,noPart,noPart,noPart,0,-805265.6280,-166063.1178,122,1610775.2561,1610776.8721,1611731.2495,38.0095,19.9779,-805265.628138,0
25,myria,80,noPart,noPart,noPart,noPart,noPart,0,-311394.0210,-102411.3644,48,622884.0420,622884.4520,623236.9386,12.9341,8.1716,-311394.021107,0
26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
