,species,samp.size,search.algo,part.log.lik,part.IC,part.IC.score,num.partition.steps,num.partitions,max.log.lik,uncon.log.lik,num.free.params,AIC,AICc,BIC,sum.branch.lens,sum.int.branch.lens,cons.log.lik,cons.max.RF.dist
1,lopho,10,noPart,noPart,noPart,noPart,noPart,0,-141345.9866,-34938.9700,122,282935.9732,282942.7972,283718.7848,104.8997,55.4279,-141346.179065,2
2,lopho,10,rcluster,-141350.330078125,AIC,282944.660156,8,2,-141343.8744,-33285.3279,122,282931.7488,282938.5728,283714.5604,101.8617,52.6154,-141344.222935,6
3,lopho,10,rcluster,-141352.96875,BIC,283724.332607,9,1,-141346.8897,-34938.9700,121,282935.7794,282942.4909,283712.1745,104.1754,54.4200,-141346.946529,4
4,lopho,10,rcluster,-141350.330078125,AICc,282951.484167,8,2,-141343.8744,-33285.3279,122,282931.7488,282938.5728,283714.5604,101.8616,52.6154,-141344.222995,6
5,myria,10,noPart,noPart,noPart,noPart,noPart,0,-59571.1941,-18927.7570,48,119238.3882,119240.2009,119520.6305,48.7942,31.0210,-59572.642147,4
6,myria,10,rcluster,-59570.439453125,AIC,119236.878906,8,2,-59568.5944,-17635.5547,48,119233.1887,119235.0014,119515.4310,48.7830,30.9547,-59568.579733,0
7,myria,10,rcluster,-59572.3359375,BIC,119515.03414,9,1,-59570.9259,-18927.7570,47,119235.8519,119237.5899,119512.2141,48.7464,30.9798,-59572.404907,4
8,myria,10,rcluster,-59570.439453125,AICc,119238.691623,8,2,-59568.5944,-17635.5547,48,119233.1887,119235.0014,119515.4310,48.7830,30.9547,-59568.579733,0
9,lopho,20,noPart,noPart,noPart,noPart,noPart,0,-282234.0554,-75440.0430,122,564712.1109,564715.3816,565582.9057,101.2717,NA,-282233.710848,2
10,lopho,20,rcluster,-282224.762695312,AIC,564703.525391,15,5,-282224.8624,-66539.9588,127,564703.7249,564707.2699,565610.2079,101.4689,NA,-282224.692236,4
11,lopho,20,rcluster,-282230.1796875,BIC,565575.154157,18,2,-282229.2589,-72050.5638,122,564702.5178,564705.7885,565573.3126,100.8626,52.0363,-282231.309615,2
12,lopho,20,rcluster,-282224.762695312,AICc,564707.070478,15,5,-282224.1177,-66539.9588,127,564702.2355,564705.7806,565608.7186,101.4128,52.3193,-282224.868147,4
13,myria,20,noPart,noPart,noPart,noPart,noPart,0,-119620.3254,-39680.6366,48,239336.6508,239337.5696,239651.0717,50.2024,30.3744,-119620.331436,0
14,myria,20,rcluster,-119613.3203125,AIC,239324.640625,17,3,-119613.1852,-36022.0031,49,239324.3705,239325.3277,239645.3417,50.2198,30.3802,-119613.175662,2
