,species,samp.size,search.algo,part.log.lik,part.IC,part.IC.score,num.partition.steps,num.partitions,max.log.lik,uncon.log.lik,num.free.params,AIC,AICc,BIC,sum.branch.lens,sum.int.branch.lens,cons.log.lik,cons.max.RF.dist
1,lopho,10,greedy,-110130.15625,AIC,220506.3125,7,3,-110130.0832,-17592.4227,123,220506.1663,220518.2232,221229.8766,52.2042,28.6238,-110130.077498,2
2,lopho,10,greedy,-110131.2890625,BIC,221224.404557,8,2,-110131.2096,-18406.1382,122,220506.4192,220518.2770,221224.2456,52.2086,28.6205,-110131.214473,0
3,lopho,10,greedy,-110130.15625,AICc,220518.369417,7,3,-110130.0700,-17592.4227,123,220506.1401,220518.1970,221229.8504,52.2019,28.6231,-110130.077482,0
4,lopho,10,noPart,noPart,noPart,noPart,noPart,0,-110135.3409,-19981.4256,122,220514.6819,220526.5397,221232.5083,52.1917,28.6185,-110135.760105,2
5,lopho,10,rcluster,-110131.466796875,AIC,220506.933594,8,2,-110131.4526,-18776.4897,122,220506.9052,220518.7630,221224.7317,52.1775,28.6114,-110131.921268,2
6,lopho,10,rcluster,-110135.2421875,BIC,221224.426984,9,1,-110135.2264,-19981.4256,121,220512.4528,220524.1132,221224.3954,52.1606,28.5980,-110135.631515,2
7,lopho,10,rcluster,-110131.466796875,AICc,220518.791357,8,2,-110131.4207,-18776.4897,122,220506.8415,220518.6993,221224.6679,52.1748,28.6096,-110131.428375,2
8,myria,10,greedy,-59121.841796875,AIC,118341.683594,7,3,-59121.7746,-14286.6180,49,118341.5492,118343.8072,118621.1070,36.8401,16.0270,-59121.775079,0
9,myria,10,greedy,-59125.140625,BIC,118620.133849,8,2,-59125.0810,-15166.0051,48,118346.1619,118348.3287,118620.0145,36.9104,16.0571,-59125.081433,0
10,myria,10,greedy,-59121.841796875,AICc,118343.941658,7,3,-59121.7746,-14286.6180,49,118341.5492,118343.8072,118621.1070,36.8402,16.0270,-59121.775079,0
11,myria,10,noPart,noPart,noPart,noPart,noPart,0,-59131.1603,-16041.3366,48,118358.3207,118360.4874,118632.1733,36.9276,16.0773,-59131.160793,0
12,myria,10,rcluster,-59121.8388671875,AIC,118341.677734,7,3,-59121.7746,-14286.6180,49,118341.5492,118343.8072,118621.1070,36.8402,16.0270,-59121.774982,0
13,myria,10,rcluster,-59125.13671875,BIC,118620.126036,8,2,-59125.0810,-15166.0051,48,118346.1619,118348.3287,118620.0145,36.9104,16.0571,-59125.081455,0
14,myria,10,rcluster,-59121.8388671875,AICc,118343.935799,7,3,-59121.7746,-14286.6180,49,118341.5492,118343.8072,118621.1070,36.8401,16.0270,-59121.774981,0
15,lopho,20,greedy,-215529.208984375,AIC,431312.417969,15,5,-215529.0616,-36786.1688,127,431312.1232,431318.2668,432150.0503,52.4737,28.8677,-215529.069421,0
16,lopho,20,greedy,-215535.2421875,BIC,432119.422209,18,2,-215535.0456,-40942.6572,122,431314.0912,431319.7571,432119.0290,52.4035,28.8139,-215535.056889,0
17,lopho,20,noPart,noPart,noPart,noPart,noPart,0,-215541.9630,-43883.6442,122,431327.9260,431333.5918,432132.8638,52.3780,28.8036,-215541.973015,0
18,lopho,20,rcluster,-215530.749023438,AIC,431313.498047,14,5,-215530.6939,-37248.2836,126,431313.3878,431319.4343,432144.7171,52.4086,28.8266,-215530.703556,0
19,lopho,20,rcluster,-215535.171875,BIC,432119.281584,18,2,-215535.0911,-41055.3325,122,431314.1822,431319.8480,432119.1200,52.3338,28.7762,-215535.099488,0
20,lopho,20,rcluster,-215530.749023438,AICc,431319.544523,14,5,-215530.6943,-37248.2836,126,431313.3886,431319.4351,432144.7178,52.4087,28.8262,-215530.702792,0
21,myria,20,greedy,-119875.209960938,AIC,239850.419922,16,4,-119875.1061,-29586.9226,50,239850.2122,239851.3957,240169.2235,37.3297,16.1837,-119875.106418,0
22,myria,20,greedy,-119877.829101562,BIC,240166.289343,17,3,-119877.6720,-30968.7706,49,239853.3440,239854.4809,240165.9752,37.3276,16.1854,-119877.673282,0
23,myria,20,greedy,-119875.209960938,AICc,239851.603491,16,4,-119875.1061,-29586.9226,50,239850.2122,239851.3957,240169.2235,37.3297,16.1837,-119875.106418,0
24,myria,20,noPart,noPart,noPart,noPart,noPart,0,-119896.3793,-34035.0731,48,239888.7587,239889.8498,240195.0096,37.3099,16.1511,-119896.379916,0
25,myria,20,rcluster,-119874.640625,AIC,239851.28125,14,5,-119874.5746,-29304.2290,51,239851.1492,239852.3804,240176.5408,37.3245,16.1832,-119874.575101,0
26,myria,20,rcluster,-119877.969726562,BIC,240166.570593,17,3,-119877.9069,-31220.2758,49,239853.8138,239854.9507,240166.4450,37.3424,16.1943,-119877.907877,2
27,myria,20,rcluster,-119874.640625,AICc,239852.512448,14,5,-119874.5746,-29304.2290,51,239851.1492,239852.3804,240176.5408,37.3245,16.1832,-119874.575101,0
28,lopho,40,greedy,-439767.859375,AIC,879787.71875,35,5,-439767.6913,-82565.5300,126,879787.3826,879790.3096,880708.5914,52.5596,28.9602,-439767.704010,2
29,lopho,40,greedy,-439778.515625,BIC,880692.995294,38,2,-439778.2862,-89875.3964,122,879800.5724,879803.3162,880692.5364,52.5261,28.9344,-439778.304512,2
30,lopho,40,greedy,-439767.859375,AICc,879790.645767,35,5,-439767.6907,-82565.5300,126,879787.3814,879790.3085,880708.5902,52.5593,28.9600,-439767.703404,2
